,Team,Games,Wins,Home,Home Wins,Away,Away Wins
Nashville Predators,Nashville Predators,10,2,3,1,7,1
Pittsburgh Penguins,Pittsburgh Penguins,11,7,7,5,4,2
Calgary Flames,Calgary Flames,11,6,1,1,10,5
Colorado Avalanche,Colorado Avalanche,11,3,6,2,5,1
Detroit Red Wings,Detroit Red Wings,11,2,5,1,6,1
New York Rangers,New York Rangers,12,4,6,3,6,1
Columbus Blue Jackets,Columbus Blue Jackets,13,9,6,4,7,5
Toronto Maple Leafs,Toronto Maple Leafs,13,8,8,5,5,3
Washington Capitals,Washington Capitals,14,8,4,2,10,6
New Jersey Devils,New Jersey Devils,15,6,6,4,9,2
Chicago Blackhawks,Chicago Blackhawks,15,5,10,3,5,2
San Jose Sharks,San Jose Sharks,15,8,6,3,9,5
Winnipeg Jets,Winnipeg Jets,15,11,6,6,9,5
Philadelphia Flyers,Philadelphia Flyers,16,7,3,1,13,6
Los Angeles Kings,Los Angeles Kings,16,7,3,1,13,6
Arizona Coyotes,Arizona Coyotes,16,8,4,2,12,6
Vegas Golden Knights,Vegas Golden Knights,16,10,6,5,10,5
Edmonton Oilers,Edmonton Oilers,16,5,5,1,11,4
Dallas Stars,Dallas Stars,16,5,5,2,11,3
Anaheim Ducks,Anaheim Ducks,16,6,5,3,11,3
Ottawa Senators,Ottawa Senators,17,6,8,4,9,2
Montr̩al Canadiens,Montr̩al Canadiens,17,10,7,5,10,5
Boston Bruins,Boston Bruins,17,10,5,4,12,6
Carolina Hurricanes,Carolina Hurricanes,17,11,7,6,10,5
Buffalo Sabres,Buffalo Sabres,18,6,9,2,9,4
Vancouver Canucks,Vancouver Canucks,18,5,6,2,12,3
Tampa Bay Lightning,Tampa Bay Lightning,19,14,5,5,14,9
Minnesota Wild,Minnesota Wild,19,8,9,4,10,4
New York Islanders,New York Islanders,20,12,10,6,10,6
St. Louis Blues,St. Louis Blues,21,10,12,8,9,2
Florida Panthers,Florida Panthers,22,9,10,5,12,4
