,Team,Games,Wins,Home,Home Wins,Away,Away Wins
Montr̩al Canadiens,Montr̩al Canadiens,5,4,5,4,0,0
Winnipeg Jets,Winnipeg Jets,6,3,3,2,3,1
Tampa Bay Lightning,Tampa Bay Lightning,6,5,1,1,5,4
Los Angeles Kings,Los Angeles Kings,7,2,4,1,3,1
St. Louis Blues,St. Louis Blues,7,5,5,3,2,2
New Jersey Devils,New Jersey Devils,7,1,6,1,1,0
Toronto Maple Leafs,Toronto Maple Leafs,8,6,5,4,3,2
New York Islanders,New York Islanders,8,7,6,5,2,2
Minnesota Wild,Minnesota Wild,8,5,6,4,2,1
Florida Panthers,Florida Panthers,8,6,4,3,4,3
Vegas Golden Knights,Vegas Golden Knights,8,6,6,4,2,2
Buffalo Sabres,Buffalo Sabres,9,3,4,2,5,1
Colorado Avalanche,Colorado Avalanche,9,3,6,2,3,1
Philadelphia Flyers,Philadelphia Flyers,9,3,6,2,3,1
Pittsburgh Penguins,Pittsburgh Penguins,9,5,7,4,2,1
Carolina Hurricanes,Carolina Hurricanes,9,4,6,3,3,1
Chicago Blackhawks,Chicago Blackhawks,9,6,6,4,3,2
Edmonton Oilers,Edmonton Oilers,10,5,8,4,2,1
Detroit Red Wings,Detroit Red Wings,10,3,7,1,3,2
Calgary Flames,Calgary Flames,11,8,5,5,6,3
Washington Capitals,Washington Capitals,11,7,8,5,3,2
Columbus Blue Jackets,Columbus Blue Jackets,11,8,7,6,4,2
Boston Bruins,Boston Bruins,12,8,9,7,3,1
Dallas Stars,Dallas Stars,12,6,7,3,5,3
Nashville Predators,Nashville Predators,13,8,7,5,6,3
New York Rangers,New York Rangers,13,7,10,6,3,1
Anaheim Ducks,Anaheim Ducks,13,6,6,2,7,4
Ottawa Senators,Ottawa Senators,14,4,7,3,7,1
San Jose Sharks,San Jose Sharks,15,8,11,7,4,1
Vancouver Canucks,Vancouver Canucks,16,8,12,7,4,1
Arizona Coyotes,Arizona Coyotes,18,9,14,8,4,1
