,Team,Games,Wins,Home,Home Wins,Away,Away Wins
Colorado Avalanche,Colorado Avalanche,3,1,2,0,1,1
Vancouver Canucks,Vancouver Canucks,3,2,3,2,0,0
Pittsburgh Penguins,Pittsburgh Penguins,5,3,4,3,1,0
Tampa Bay Lightning,Tampa Bay Lightning,6,5,2,2,4,3
Toronto Maple Leafs,Toronto Maple Leafs,7,7,5,5,2,2
Chicago Blackhawks,Chicago Blackhawks,7,3,7,3,0,0
St. Louis Blues,St. Louis Blues,7,4,5,3,2,1
Ottawa Senators,Ottawa Senators,7,3,6,3,1,0
Winnipeg Jets,Winnipeg Jets,7,6,5,4,2,2
Dallas Stars,Dallas Stars,7,4,2,2,5,2
New York Islanders,New York Islanders,8,7,7,6,1,1
Detroit Red Wings,Detroit Red Wings,8,2,6,1,2,1
Buffalo Sabres,Buffalo Sabres,8,2,5,2,3,0
New Jersey Devils,New Jersey Devils,8,3,7,3,1,0
Montr̩al Canadiens,Montr̩al Canadiens,9,7,9,7,0,0
Florida Panthers,Florida Panthers,9,5,8,5,1,0
Vegas Golden Knights,Vegas Golden Knights,9,8,6,6,3,2
Columbus Blue Jackets,Columbus Blue Jackets,9,8,5,5,4,3
Nashville Predators,Nashville Predators,9,6,8,5,1,1
Philadelphia Flyers,Philadelphia Flyers,9,3,4,1,5,2
Boston Bruins,Boston Bruins,9,6,8,6,1,0
San Jose Sharks,San Jose Sharks,9,7,8,7,1,0
Carolina Hurricanes,Carolina Hurricanes,10,6,6,3,4,3
Washington Capitals,Washington Capitals,11,8,8,5,3,3
Anaheim Ducks,Anaheim Ducks,12,5,10,5,2,0
Calgary Flames,Calgary Flames,12,10,8,7,4,3
Minnesota Wild,Minnesota Wild,12,5,10,5,2,0
New York Rangers,New York Rangers,13,8,11,7,2,1
Los Angeles Kings,Los Angeles Kings,13,2,10,2,3,0
Arizona Coyotes,Arizona Coyotes,14,8,13,8,1,0
Edmonton Oilers,Edmonton Oilers,18,8,15,8,3,0
